category,date,title,menu,kcal
점심,2017년 12월 04일 월요일,대현급식,찰밥5. 소고기미역국5.6.13.16 시금치무침5.6. 흰살생선튀김1.2.5.6.13. 군고구마우유2. 타르타르소스1.5.13.,650 kcal
점심,2017년 12월 05일 화요일,대현급식,잡곡밥5. 추어탕5.6.13. 탕평채1.5.6.13. 완자전1.5.6.9.13.17.18 섞박지9.13. 우유2.,619 kcal
점심,2017년 12월 06일 수요일,대현급식,쌀밥 파니르커리2.5.6.10.12.13.16 오징어링튀김2.5.6.12.13.17 오이김치9.13.우유2 보리빵1.2.5.6.13.,631 kcal
점심,2017년 12월 07일 목요일,대현급식,흑미밥 콩나물두부국5.9.13. 가지돼지갈비찜5.6.10.13. 치커리들깨무침5.6.13. 배추김치9.13. 유과5.13.우유2.,602 kcal
점심,2017년 12월 08일 금요일,대현급식,현미밥 육개장5.6.13.16 버섯애호박볶음9.13. 닭꼬치5.6.10.12.13.15 깍두기9.13. 사과우유2. 553.3/33.2/257.5,553 kcal
점심,2017년 12월 11일 월요일,대현급식,옥수수밥 소고기전복국5.6.8.13.16.17.18 돈육메추리알장조림1.5.6.10.13. 잡채1.5.6.8.10.13. 배추김치9.13. 귤/ 우유2.,657 kcal
점심,2017년 12월 12일 화요일,대현급식,현미밥 아욱국5.6.9.13. 참치김치볶음5.9.13. 파닭(2)2.5.6.13.15 돌김자반13. 바나나 우유2.,602 kcal
점심,2017년 12월 13일 수요일,대현급식,곤드레밥5.6.13. 미소국5.6.13. 탕수육1.2.5.6.10.12.13. 깍두기9.13. 요구르트2. 약고추장5.6.13.16 우유2.,655 kcal
점심,2017년 12월 14일 목요일,대현급식,흑미밥 어묵국1.5.6.13. 낙지볶음5.6.12.13.16.17.17.18 고구마튀김2.5.6. 배추겉절이9.13. 귤/ 우유2.,625 kcal
점심,2017년 12월 15일 금요일,대현급식,기장밥 설렁탕5.6.13.16. 떡볶이(부식)1.2.5.6.12.13. 토마토참치계란말이1.2.5.6.12.13. 깍두기9.13. 조미김13.우유2.,
점심,2017년 12월 18일 월요일,대현급식,기장밥 미역국(바지락)5.6.13. 찹스테이크(소고기)2.5.6.12.13.16 삼색나물(2)5. 배추김치9.13. / 우유2.,529 kcal
점심,2017년 12월 19일 화요일,대현급식,기장밥 시금치모시조개국5.6.13.조미김13. 폭립1.5.13. 깍두기9.13.우유2. 단호박샐러드1.5.13.,588 kcal
점심,2017년 12월 20일 수요일,대현급식,짜장밥(소고기)1.2.5.6.10.13.16 치즈스틱2.5. 깍두기9. 옛날찐빵1.2.5.6.13. 사과 우유2.,651 kcal
점심,2017년 12월 21일 목요일,대현급식,잡곡밥 순두부찌개1.5.6.9.10.13.17.18 가지나물5.6.13. 햄전1.2.5.6.10. 배추김치9. 에그타르트1.2.5.6. 우유2.,642 kcal
점심,2017년 12월 22일 금요일,대현급식,차수수밥 콩나물김치국5.9.13.17.18.17.18 포항초무침5.6. 포크커틀릿1.2.5.6.10.12.13. 웨지감자2.5. 우유2.,635 kcal
점심,2017년 12월 26일 화요일,대현급식,흑미밥 단배추된장국5.6.13.18 감자부각5. 훈제오리무쌈1.5.13. 열무김치9.13. 우유2. 616.6/30.9/312.8,635 kcal
점심,2017년 12월 27일 수요일,대현급식,떡국1.5.6.13.18 찐핫도그(우리밀)1.2.5.6.10. 닭살강정2.5.6.12.13.15 배추김치9.13. 케찹12.딸기/우유2.,659 kcal
점심,2017년 12월 28일 목요일,대현급식,현미밥 낙지수제비5.6.13.17.18 편육5.6.10.13. 보쌈김치9.13. 조미김13. 우유2.,655 kcal
