category,date,title,menu,kcal
점심,2017년 04월 28일 금요일,대현급식,"잡곡밥,바지락콩나물국,갈치풋호박조림,도토리묵무침,웨지감자버터구이,배추김치,우유",
점심,2017년 05월 10일 수요일,수다날,곤드레밥5.6.13. 미역국(바지락)5.6.13. 참치계란말이1.5.13. 회오리감자5. 열무김치9.13. 간장양념장(밥)5.6.13. 우유2.,552 kcal
점심,2017년 05월 11일 목요일,목요급식,흑미밥 청국장찌개5.6.9.10.13. 잡채1.5.6.8.10.13. 수제함박스테이크1.2.5.6.9.10.12.13. 깍두기9.13. 우유2.,628 kcal
점심,2017년 05월 12일 금요일,금요급식,찰밥5. 날콩가루단배추국5.6.13. 고구마닭갈비5.6.8.13. 돌김자반무침5.6.13. 치즈스틱2.5. 깍두기9.13. 우유2.,651 kcal
점심,2017년 05월 15일 월요일,월욜 급식,현미밥 육개장5.6.13. 버섯애호박볶음9.13. 탕수육1.2.5.6.10.12.13. 열무김치9.13. 우유2.6.,623 kcal
점심,2017년 05월 16일 화요일,화요급식,오징어실채무침5.6.13. 깍두기9.13. 장국죽5.6. 뉴욕핫도그1.2.5.6.10.12.13. 요구르트2. 우유2.,638 kcal
점심,2017년 05월 17일 수요일,수다날,짜장밥(소고기)1.2.5.6.10.13. 배추김치9.13. 포도쥬스5.13. 참외 고구마떡강정5.6.12.13. 우유2.,672 kcal
점심,2017년 05월 18일 목요일,목요급식,차수수밥 설렁탕(국수)1.5.6.13. 순대볶음5.6.10.13. 배추김치9.13. 조미김13. 흑임자연근샐러드1.5.12. 우유2.,588 kcal
점심,2017년 05월 19일 금요일,금욜 급식,찰밥5. 시금치모시조개국5.6.13. 대하구이2.9.13. 깍두기9.13. 인도커리와난(빵)1.2.5.6.10.13. 우유2.,562 kcal
점심,2017년 05월 22일 월요일,월욜 급식,쌀밥 해물된장국(찌개)5.6.8.13. 바베큐폭립(돈등갈비)10.13. 탕평채1.5.6.13. 배추김치9.13. 참외 우유2.6.,593 kcal
점심,2017년 05월 23일 화요일,화요급식,기장밥 짬뽕국5.6.9.13. 닭안심살깻잎강정2.5.6.12. 배추김치9.13. 햇감자샐러드1.5.12.13. 우유2.,635 kcal
점심,2017년 05월 24일 수요일,수다날,야채볶음밥5.6.9.10.13. 꼬치어묵국1.5.6.13. 진미채콩볶음5.6.13. 열무김치9.13. 바나나 우유2.,618 kcal
점심,2017년 05월 25일 목요일,목요급식,기장밥 수제비국5.6.13. 취나물들깨볶음5.6.13. 훈제오리무쌈1.5.13. 배추김치9.13. 우유2.,650 kcal
점심,2017년 05월 26일 금요일,금요급식,흑미밥 아욱국5.6.9.13. 돼지고기두루치기5.6.10.13. 배추김치9.13. 로메인과쌈장5.6.13. 우유2.6. 요구르트2.,610 kcal
점심,2017년 05월 29일 월요일,월욜급식,서리태밥5. 미역국(바지락)5.6.13. 소고기메추리알조림1.5.6.13. 콩나물무침5. 떡볶이(부식) 우유2,642 kcal
점심,2017년 05월 30일 화요일,화욜급식,흑미밥 쇠고기무국5.6.8.13. 쑥갓무침5. 탄두리닭봉구이2.5.6.12.13. 배추김치9.13. 파인애플 우유,520 kcal
점심,2017년 05월 31일 수요일,수다날,쌀밥 파니르커리2.5.6.10.12.13. 오징어링튀김2.5.6.12.13. 깍두기9.13. 보리빵1.2.5.6.13.,613 kcal
점심,2017년 06월 01일 목요일,대현급식,"잡곡밥, 우렁이된장국,돈육감자조림,취나물들깨볶음,배추김치무침,우유",608 kcal
