name,date,title,content
배수연,2023-05-24,2023학년도 강남서초 학생기후행동 365 <초록별지킴이 발대식> 안내,2023학년도 강남서초 학생기후행동 365 <초록별지킴이 발대식> 안내 입니다.
배수연,2023-05-24,2023 1학년 1학기 진로현장 체험 학습비 정산 내역 안내,2023 1학년 1학기 진로현장 체험 학습비 정산 내역 안내 입니다.
배수연,2023-05-24,서울대현초등학교 보행환경 개선사업관련 주민설명회 개최 안내문,서울대현초등학교 보행환경 개선사업관련 주민설명회 개최 안내문 입니다.
배수연,2023-05-24,2023년 학교 흡연예방 캠페인 블루리본주간 운영 안내,2023년 학교 흡연예방 캠페인 블루리본주간 운영 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-05-24,2023 6학년 1학기 진로현장체험학습비 정산 내역 안내,2023 6학년 1학기 진로현장체험학습비 정산 내역 안내 입니다.
배수연,2023-05-24,2023년 희귀난치병 학생 의료비 지원 안내,2023년 희귀난치병 학생 의료비 지원 안내 입니다.
배수연,2023-05-24,4학년 1학기 진로현장체험학습비 정산 내역,4학년 1학기 진로현장체험학습비 정산 내역 안내 입니다.
배수연,2023-05-16,강남서초과학교육센터 프로그램 운영 및 신청안내(3~6학년),강남서초과학교육센터 프로그램 운영 및 신청안내(3~6학년) 입니다.
배수연,2023-05-16,통학차량 및 학교 앞 CCTV 위치 안내,통학차량 및 학교 앞 CCTV 위치 안내 입니다.
배수연,2023-05-16,2023 온가족이 함꼐 하는 디지털참가 안내,2023 온가족이 함꼐 하는 디지털참가 안내 입니다.
배수연,2023-05-16,MS OFFICE 무료 사용 안내,MS OFFICE 무료 사용 안내 입니다.
배수연,2023-05-16,2023 세계청소년기후포럼 참가 학생 모집 안내,2023 세계청소년기후포럼 참가 학생 모집 안내 입니다.
배수연,2023-05-16,2023학년도 1기 방과후학교 만족도 조사 실시,2023학년도 1기 방과후학교 만족도 조사 실시 안내 입니다.
배수연,2023-05-16,"청렴대현교육을 위한 학부모 안내(스승의날, 현장체험학습 관련)","청렴대현교육을 위한 학부모 안내(스승의날, 현장체험학습 관련) 입니다."
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-05-16,2023 2학년 1학기 진로현장체험학습비 확정 안내,2023 2학년 1학기 진로현장체험학습비 확정 안내 입니다.
배수연,2023-05-16,2022학년도 학교발전기금회계 결산 결과 공개,2022학년도 학교발전기금회계 결산 결과 공개 안내 입니다
배수연,2023-05-08,2023 5학년 1학기 진로현장체험학습비 정산 내역 안내,2023 5학년 1학기 진로현장체험학습비 정산 내역 안내 입니다.
배수연,2023-05-08,2023 1학년 1학기 진로현장체험학습 체험학습비 변경 및 납부 안내,2023 1학년 1학기 진로현장체험학습 체험학습비 변경 및 납부 안내 입니다.
배수연,2023-05-08,2023 강남서초 달달한 학부모 아카데미 5월 강좌 안내,2023 강남서초 달달한 학부모 아카데미 5월 강좌 안내 입니다.
배수연,2023-05-08,방과후학생 안전사고 예방을 위한 안전 귀가 및 생활 수칙 안내,방과후학생 안전사고 예방을 위한 안전 귀가 및 생활 수칙 안내 입니다.
배수연,2023-05-08,정문 보안관실 이전 공사로 인한 정문 이용 안내,정문 보안관실 이전 공사로 인한 정문 이용 안내 입니다.
